<<<<<<< HEAD
country,foodItem,currency,measure,year,cost
Chad,Rice,XAF,KG,2018,567
Chad,Rice,XAF,KG,2015,780
Chad,Rice,XAF,KG,2015,770
Chad,Rice,XAF,KG,2015,760
Chad,Rice,XAF,KG,2016,760
Chad,Rice,XAF,KG,2016,770
Chad,Rice,XAF,KG,2016,770
Chad,Rice,XAF,KG,2016,770
Chad,Rice,XAF,KG,2016,780
Chad,Rice,XAF,KG,2016,780
Chad,Rice,XAF,KG,2016,780
Chad,Rice,XAF,KG,2016,770
Chad,Rice,XAF,KG,2016,790
Chad,Rice,XAF,KG,2016,780
Chad,Rice,XAF,KG,2016,780
Chad,Rice,XAF,KG,2016,780
Chad,Rice,XAF,KG,2017,786
Chad,Rice,XAF,KG,2017,780
Chad,Rice,XAF,KG,2017,785
Chad,Rice,XAF,KG,2017,780
Chad,Rice,XAF,KG,2017,780
Chad,Rice,XAF,KG,2017,780
Chad,Rice,XAF,KG,2017,786
Chad,Rice,XAF,KG,2017,800
Chad,Rice,XAF,KG,2017,803
Chad,Rice,XAF,KG,2017,800
Chad,Rice,XAF,KG,2017,780
Chad,Rice,XAF,KG,2017,770
Chad,Rice,XAF,KG,2018,770
Chad,Rice,XAF,KG,2018,656
Chad,Rice,XAF,KG,2018,600
Chad,Rice,XAF,KG,2018,600
Chad,Rice,XAF,KG,2018,600
Chad,Rice,XAF,KG,2018,600
Chad,Rice,XAF,KG,2018,613
Chad,Rice,XAF,KG,2018,640
Chad,Rice,XAF,KG,2018,690
Chad,Rice,XAF,KG,2018,680
Chad,Rice,XAF,KG,2018,687
Chad,Rice,XAF,KG,2018,690
Chad,Rice,XAF,KG,2019,707
Chad,Rice,XAF,KG,2019,726
Chad,Rice,XAF,KG,2019,720
Chad,Rice,XAF,KG,2019,723
Chad,Rice,XAF,KG,2019,730
Chad,Rice,XAF,KG,2019,734
Chad,Rice,XAF,KG,2019,746
Chad,Rice,XAF,KG,2019,800
Chad,Rice,XAF,KG,2019,800
Chad,Rice,XAF,KG,2019,800
Chad,Rice,XAF,KG,2019,800
Chad,Rice,XAF,KG,2019,800
Chad,Rice,XAF,KG,2020,673
Chad,Rice,XAF,KG,2020,682
Chad,Rice,XAF,KG,2020,683
Chad,Rice,XAF,KG,2020,683
Chad,Rice,XAF,KG,2020,685
Chad,Rice,XAF,KG,2020,695
Chad,Rice,XAF,KG,2020,720
Chad,Rice,XAF,KG,2020,740
Chad,Rice,XAF,KG,2020,750
Chad,Rice,XAF,KG,2020,573
Chad,Rice,XAF,KG,2021,725
Chad,Rice,XAF,KG,2018,700
Chad,Rice,XAF,KG,2018,703
Chad,Rice,XAF,KG,2018,707
Chad,Rice,XAF,KG,2019,733
Chad,Rice,XAF,KG,2019,720
Chad,Rice,XAF,KG,2019,723
Chad,Rice,XAF,KG,2019,743
Chad,Rice,XAF,KG,2019,740
Chad,Rice,XAF,KG,2019,746
Chad,Rice,XAF,KG,2019,754
Chad,Rice,XAF,KG,2019,813
Chad,Rice,XAF,KG,2019,806
Chad,Rice,XAF,KG,2019,836
Chad,Rice,XAF,KG,2019,863
Chad,Rice,XAF,KG,2019,800
Chad,Rice,XAF,KG,2020,700
Chad,Rice,XAF,KG,2020,703
Chad,Rice,XAF,KG,2020,705
Chad,Rice,XAF,KG,2020,705
Chad,Rice,XAF,KG,2020,700
Chad,Rice,XAF,KG,2020,711
Chad,Rice,XAF,KG,2020,735
Chad,Rice,XAF,KG,2020,735
Chad,Rice,XAF,KG,2020,728
Chad,Rice,XAF,KG,2020,506
Chad,Rice,XAF,KG,2020,676.6666
Chad,Rice,XAF,KG,2020,483
Chad,Rice,XAF,KG,2021,485
Chad,Rice,XAF,KG,2021,541
Chad,Rice,XAF,KG,2021,497.6666
Chad,Rice,XAF,KG,2021,486.6666
Chad,Rice,XAF,KG,2021,500
Chad,Rice,XAF,KG,2019,730
Chad,Rice,XAF,KG,2019,720
Chad,Rice,XAF,KG,2019,730
Chad,Rice,XAF,KG,2019,730
Chad,Rice,XAF,KG,2019,734
Chad,Rice,XAF,KG,2019,746
Chad,Rice,XAF,KG,2019,786
Chad,Rice,XAF,KG,2019,760
Chad,Rice,XAF,KG,2019,760
Chad,Rice,XAF,KG,2019,760
Chad,Rice,XAF,KG,2019,760
Chad,Rice,XAF,KG,2020,680
Chad,Rice,XAF,KG,2020,686
Chad,Rice,XAF,KG,2020,690
Chad,Rice,XAF,KG,2020,688
Chad,Rice,XAF,KG,2020,690
Chad,Rice,XAF,KG,2020,696
Chad,Rice,XAF,KG,2020,715
Chad,Rice,XAF,KG,2020,725
Chad,Rice,XAF,KG,2020,800
Chad,Rice,XAF,KG,2020,800
Chad,Rice,XAF,KG,2020,784
Chad,Rice,XAF,KG,2021,773
Chad,Rice,XAF,KG,2021,797
Chad,Rice,XAF,KG,2021,771
Chad,Rice,XAF,KG,2021,780
Chad,Rice,XAF,KG,2021,796
Chad,Rice,XAF,KG,2019,740
Chad,Rice,XAF,KG,2019,730
Chad,Rice,XAF,KG,2019,733
Chad,Rice,XAF,KG,2019,730
Chad,Rice,XAF,KG,2019,734
Chad,Rice,XAF,KG,2019,754
Chad,Rice,XAF,KG,2019,813
Chad,Rice,XAF,KG,2019,803
Chad,Rice,XAF,KG,2019,813
Chad,Rice,XAF,KG,2019,826
Chad,Rice,XAF,KG,2019,800
Chad,Rice,XAF,KG,2020,700
Chad,Rice,XAF,KG,2020,703
Chad,Rice,XAF,KG,2020,705
Chad,Rice,XAF,KG,2020,703
Chad,Rice,XAF,KG,2020,700
Chad,Rice,XAF,KG,2020,706
Chad,Rice,XAF,KG,2020,720
Chad,Rice,XAF,KG,2020,740
Chad,Rice,XAF,KG,2020,800
Chad,Rice,XAF,KG,2020,587
Chad,Rice,XAF,KG,2020,530
Chad,Rice,XAF,KG,2020,533.5
Chad,Rice,XAF,KG,2021,510
Chad,Rice,XAF,KG,2021,513.5
Chad,Rice,XAF,KG,2021,546.5
Chad,Rice,XAF,KG,2021,735
Chad,Rice,XAF,KG,2021,660
Chad,Rice,XAF,KG,2021,646.5
Chad,Rice,XAF,KG,2011,600
Chad,Rice,XAF,KG,2011,560
Chad,Rice,XAF,KG,2011,590
Chad,Rice,XAF,KG,2011,560
Chad,Rice,XAF,KG,2011,600
Chad,Rice,XAF,KG,2011,540
Chad,Rice,XAF,KG,2011,600
Chad,Rice,XAF,KG,2011,556
Chad,Rice,XAF,KG,2011,547
Chad,Rice,XAF,KG,2011,556
Chad,Rice,XAF,KG,2012,565
Chad,Rice,XAF,KG,2012,583
Chad,Rice,XAF,KG,2018,560
Chad,Rice,XAF,KG,2018,570
Chad,Rice,XAF,KG,2018,560
Chad,Rice,XAF,KG,2018,560
Chad,Rice,XAF,KG,2018,540
Chad,Rice,XAF,KG,2019,560
Chad,Rice,XAF,KG,2019,560
Chad,Rice,XAF,KG,2019,540
Chad,Rice,XAF,KG,2019,613
Chad,Rice,XAF,KG,2019,602
Chad,Rice,XAF,KG,2019,553
Chad,Rice,XAF,KG,2019,603
Chad,Rice,XAF,KG,2019,553
Chad,Rice,XAF,KG,2019,573
Chad,Rice,XAF,KG,2019,573
Chad,Rice,XAF,KG,2019,560
Chad,Rice,XAF,KG,2020,560
Chad,Rice,XAF,KG,2020,573
Chad,Rice,XAF,KG,2020,600
Chad,Rice,XAF,KG,2020,580
Chad,Rice,XAF,KG,2020,580
Chad,Rice,XAF,KG,2020,593
Chad,Rice,XAF,KG,2020,587
Chad,Rice,XAF,KG,2020,587
Chad,Rice,XAF,KG,2020,875
Chad,Rice,XAF,KG,2020,639.5
Chad,Rice,XAF,KG,2020,607.5
Chad,Rice,XAF,KG,2020,735
Chad,Rice,XAF,KG,2021,634
Chad,Rice,XAF,KG,2021,660.5
Chad,Rice,XAF,KG,2021,479.5
Chad,Rice,XAF,KG,2021,647.5
Chad,Rice,XAF,KG,2021,640
Chad,Rice,XAF,KG,2019,587
Chad,Rice,XAF,KG,2019,600
Chad,Rice,XAF,KG,2019,600
Chad,Rice,XAF,KG,2019,600
Chad,Rice,XAF,KG,2019,603
Chad,Rice,XAF,KG,2019,600
Chad,Rice,XAF,KG,2019,600
Chad,Rice,XAF,KG,2019,600
Chad,Rice,XAF,KG,2019,600
Chad,Rice,XAF,KG,2019,600
Chad,Rice,XAF,KG,2019,600
Chad,Rice,XAF,KG,2020,600
Chad,Rice,XAF,KG,2020,600
Chad,Rice,XAF,KG,2020,600
Chad,Rice,XAF,KG,2020,600
Chad,Rice,XAF,KG,2020,600
Chad,Rice,XAF,KG,2020,600
Chad,Rice,XAF,KG,2020,600
Chad,Rice,XAF,KG,2020,600
Chad,Rice,XAF,KG,2020,625
Chad,Rice,XAF,KG,2020,725
Chad,Rice,XAF,KG,2020,730
Chad,Rice,XAF,KG,2020,725
Chad,Rice,XAF,KG,2021,725
Chad,Rice,XAF,KG,2021,725
Chad,Rice,XAF,KG,2021,725
Chad,Rice,XAF,KG,2021,725
Chad,Rice,XAF,KG,2021,731
Chad,Rice,XAF,KG,2019,545
